,case,run,VB,time,DOC,feed,material,smcAC,smcDC,vib_table,vib_spindle,AE_table,AE_spindle,cut_no
0,1,1,0.0,2,1.5,0.5,1,-0.01708984375,0.625,0.078125,0.31494140625,0.0872802734375,0.103759765625,0
1,1,2,,4,1.5,0.5,1,0.3076171875,0.6689453125,0.07568359375,0.301513671875,0.086669921875,0.0994873046875,1
2,1,3,,6,1.5,0.5,1,-0.72509765625,0.9130859375,0.0830078125,0.29541015625,0.0927734375,0.10498046875,2
3,1,4,0.11,7,1.5,0.5,1,0.1123046875,0.1318359375,0.0830078125,0.316162109375,0.1129150390625,0.1397705078125,3
4,1,5,,11,1.5,0.5,1,-0.1220703125,0.44921875,0.107421875,0.284423828125,0.0958251953125,0.1104736328125,4
5,1,6,0.2,15,1.5,0.5,1,0.32958984375,0.68359375,0.07080078125,0.3076171875,0.103759765625,0.1202392578125,5
6,1,7,0.24,19,1.5,0.5,1,-0.57861328125,1.3818359375,0.06591796875,0.322265625,0.0909423828125,0.1239013671875,6
7,1,8,0.29,22,1.5,0.5,1,0.30029296875,1.435546875,0.06103515625,0.308837890625,0.0927734375,0.108642578125,7
8,1,9,0.28,26,1.5,0.5,1,-0.30517578125,1.4501953125,0.06591796875,0.284423828125,0.084228515625,0.098876953125,8
9,1,10,0.29,29,1.5,0.5,1,0.21484375,1.40625,0.06103515625,0.279541015625,0.087890625,0.1068115234375,9
10,1,11,0.38,32,1.5,0.5,1,-0.595703125,1.3818359375,0.068359375,0.301513671875,0.0994873046875,0.120849609375,10
11,1,12,0.4,35,1.5,0.5,1,0.2294921875,1.3916015625,0.05615234375,0.391845703125,0.08544921875,0.1092529296875,11
12,1,13,0.43,38,1.5,0.5,1,-0.595703125,1.3427734375,0.05859375,0.3173828125,0.096435546875,0.113525390625,12
13,1,14,0.45,41,1.5,0.5,1,0.1953125,1.4013671875,0.1025390625,0.3515625,0.0921630859375,0.1043701171875,13
14,1,15,0.5,44,1.5,0.5,1,-0.625,1.38671875,0.0830078125,0.29541015625,0.0958251953125,0.103759765625,14
15,1,16,,46,1.5,0.5,1,-0.625,1.4013671875,0.08544921875,0.30517578125,0.076904296875,0.0946044921875,15
16,1,17,0.44,48,1.5,0.5,1,0.3369140625,1.4501953125,0.08056640625,0.28076171875,0.078125,0.0958251953125,16
17,2,1,0.08,3,0.75,0.5,1,-0.6494140625,1.3671875,0.087890625,0.3076171875,0.018310546875,0.123291015625,17
18,2,2,0.14,9,0.75,0.5,1,-0.751953125,1.3671875,0.06103515625,0.286865234375,0.0823974609375,0.106201171875,18
19,2,3,0.14,12,0.75,0.5,1,0.2978515625,1.38671875,0.068359375,0.345458984375,0.0933837890625,0.1104736328125,19
20,2,4,0.14,15,0.75,0.5,1,-0.556640625,1.3623046875,0.087890625,0.29296875,0.0921630859375,0.107421875,20
21,2,5,0.15,22,0.75,0.5,1,-0.6201171875,1.3330078125,0.09765625,0.294189453125,0.0177001953125,0.093994140625,21
22,2,6,,24,0.75,0.5,1,0.205078125,1.376953125,0.17578125,0.3125,0.10986328125,0.13427734375,22
23,2,7,0.18,27,0.75,0.5,1,-0.361328125,1.3818359375,0.0927734375,0.30517578125,0.1129150390625,0.12939453125,23
24,2,8,0.22,33,0.75,0.5,1,0.2783203125,1.3720703125,0.087890625,0.283203125,0.093994140625,0.1141357421875,24
25,2,9,0.26,39,0.75,0.5,1,-0.0537109375,1.4013671875,0.08544921875,0.274658203125,0.091552734375,0.106201171875,25
26,2,10,0.31,45,0.75,0.5,1,0.126953125,1.40625,0.1025390625,0.286865234375,0.0970458984375,0.1055908203125,26
27,2,11,0.38,51,0.75,0.5,1,-0.18310546875,1.4208984375,0.10986328125,0.279541015625,0.0994873046875,0.1043701171875,27
28,2,12,0.43,59,0.75,0.5,1,-0.18310546875,1.396484375,0.10009765625,0.284423828125,0.1007080078125,0.118408203125,28
29,2,13,0.48,66,0.75,0.5,1,-0.12451171875,1.4013671875,0.09521484375,0.294189453125,0.1141357421875,0.1324462890625,29
30,2,14,0.55,72,0.75,0.5,1,-0.615234375,1.3623046875,0.08544921875,0.281982421875,0.10498046875,0.123291015625,30
31,3,1,0.0,0,0.75,0.25,1,-0.55419921875,1.2890625,0.10009765625,0.25390625,0.1080322265625,0.123291015625,31
32,3,2,0.13,3,0.75,0.25,1,-0.60791015625,1.337890625,0.10986328125,0.277099609375,0.1123046875,0.1251220703125,32
33,3,3,0.13,9,0.75,0.25,1,0.1611328125,1.3330078125,0.10009765625,0.277099609375,0.1171875,0.13671875,33
34,3,5,0.17,21,0.75,0.25,1,0.1123046875,1.42578125,0.17822265625,0.283203125,0.130615234375,0.1519775390625,34
35,3,6,0.19,27,0.75,0.25,1,0.13916015625,1.3720703125,0.1708984375,0.294189453125,0.11962890625,0.14892578125,35
36,3,7,0.2,33,0.75,0.25,1,0.37841796875,1.38671875,0.1953125,0.29052734375,0.128173828125,0.1605224609375,36
37,3,8,0.23,39,0.75,0.25,1,0.28564453125,1.376953125,0.1904296875,0.28564453125,0.133056640625,0.1605224609375,37
38,3,9,0.23,45,0.75,0.25,1,-0.0634765625,1.4306640625,0.16845703125,0.28564453125,0.1171875,0.1495361328125,38
39,3,10,0.26,51,0.75,0.25,1,0.2490234375,1.396484375,0.17578125,0.2880859375,0.130615234375,0.1641845703125,39
40,3,11,0.28,57,0.75,0.25,1,-0.146484375,1.42578125,0.10986328125,0.299072265625,0.135498046875,0.1611328125,40
41,3,12,0.33,63,0.75,0.25,1,-0.6689453125,1.38671875,0.1171875,0.264892578125,0.125732421875,0.15625,41
42,3,14,0.36,69,0.75,0.25,1,0.2783203125,1.357421875,0.18310546875,0.20751953125,0.1153564453125,0.1361083984375,42
43,3,15,0.44,75,0.75,0.25,1,-0.263671875,1.416015625,0.18798828125,0.281982421875,0.118408203125,0.1422119140625,43
44,3,16,0.55,81,0.75,0.25,1,-0.30029296875,1.3671875,0.18798828125,0.281982421875,0.1336669921875,0.1678466796875,44
45,4,1,0.08,3,1.5,0.25,1,-0.24169921875,1.34765625,0.1611328125,0.28564453125,0.1214599609375,0.1531982421875,45
46,4,2,0.13,9,1.5,0.25,1,0.341796875,1.3916015625,0.17333984375,0.2734375,0.106201171875,0.128173828125,46
47,4,3,0.2,15,1.5,0.25,1,0.27587890625,1.376953125,0.29296875,0.301513671875,0.1092529296875,0.1361083984375,47
48,4,4,0.31,21,1.5,0.25,1,-0.322265625,1.4013671875,0.11474609375,0.269775390625,0.1300048828125,0.1568603515625,48
49,4,5,0.35,27,1.5,0.25,1,-0.185546875,1.3916015625,0.0927734375,0.26611328125,0.11474609375,0.1361083984375,49
50,4,6,0.4,34,1.5,0.25,1,-0.29541015625,1.3818359375,0.07568359375,0.3125,0.107421875,0.1251220703125,50
51,4,7,0.49,39,1.5,0.25,1,-0.1513671875,1.3427734375,0.068359375,0.2978515625,0.1055908203125,0.1165771484375,51
52,9,1,0.0,1,1.5,0.5,1,-0.40771484375,1.3671875,0.09033203125,0.29296875,0.145263671875,0.1715087890625,52
53,9,2,0.1,3,1.5,0.5,1,-0.595703125,1.3330078125,0.07080078125,0.27099609375,0.1318359375,0.1513671875,53
54,9,3,0.14,9,1.5,0.5,1,0.20751953125,1.337890625,0.0537109375,0.321044921875,0.0970458984375,0.11474609375,54
55,9,4,0.19,16,1.5,0.5,1,-0.12451171875,1.34765625,0.0537109375,0.306396484375,0.1019287109375,0.11962890625,55
56,9,5,0.27,22,1.5,0.5,1,-0.63720703125,1.3525390625,0.0537109375,0.279541015625,0.10986328125,0.1397705078125,56
57,9,6,0.38,28,1.5,0.5,1,-0.44921875,1.3916015625,0.06103515625,0.274658203125,0.12451171875,0.147705078125,57
58,9,7,0.47,34,1.5,0.5,1,-0.3662109375,1.40625,0.05859375,0.294189453125,0.1165771484375,0.13427734375,58
59,9,8,0.64,40,1.5,0.5,1,-0.107421875,1.4404296875,0.05859375,0.28076171875,0.133056640625,0.15869140625,59
60,9,9,0.81,46,1.5,0.5,1,0.263671875,1.416015625,0.05615234375,0.272216796875,0.126953125,0.1519775390625,60
61,10,1,0.0,0,1.5,0.25,1,0.2490234375,1.3671875,0.0537109375,0.2978515625,0.1141357421875,0.140380859375,61
62,10,2,0.04,4,1.5,0.25,1,-0.234375,1.42578125,0.05859375,0.289306640625,0.120849609375,0.1318359375,62
63,10,3,0.08,9,1.5,0.25,1,-0.64453125,1.3525390625,0.05126953125,0.284423828125,0.1226806640625,0.146484375,63
64,10,4,0.16,15,1.5,0.25,1,-0.6396484375,1.3818359375,0.06103515625,0.318603515625,0.1251220703125,0.1416015625,64
65,10,5,0.25,21,1.5,0.25,1,-0.0048828125,1.38671875,0.0537109375,0.28076171875,0.1165771484375,0.1348876953125,65
66,10,6,0.36,27,1.5,0.25,1,-0.546875,1.3671875,0.05126953125,0.313720703125,0.098876953125,0.1116943359375,66
67,10,7,0.43,33,1.5,0.25,1,-0.615234375,1.3623046875,0.05126953125,0.269775390625,0.1104736328125,0.128173828125,67
68,10,8,0.47,39,1.5,0.25,1,0.2490234375,1.3818359375,0.05615234375,0.26611328125,0.108642578125,0.125732421875,68
69,10,9,0.53,45,1.5,0.25,1,0.2490234375,1.3818359375,0.0537109375,0.2783203125,0.1165771484375,0.1416015625,69
70,10,10,0.7,57,1.5,0.25,1,0.205078125,1.337890625,0.068359375,0.321044921875,0.1177978515625,0.13916015625,70
71,11,1,0.0,1,0.75,0.25,1,-0.244140625,1.3525390625,0.07080078125,0.289306640625,0.126953125,0.1641845703125,71
72,11,2,0.04,3,0.75,0.25,1,-0.654296875,1.3134765625,0.07080078125,0.301513671875,0.1495361328125,0.1812744140625,72
73,11,3,0.07,10,0.75,0.25,1,-0.21484375,1.4111328125,0.07080078125,0.269775390625,0.0927734375,0.1214599609375,73
74,11,4,0.07,12,0.75,0.25,1,0.263671875,1.3916015625,0.06103515625,0.286865234375,0.098876953125,0.1153564453125,74
75,11,5,0.08,14,0.75,0.25,1,-0.60546875,1.3427734375,0.06591796875,0.296630859375,0.1214599609375,0.1446533203125,75
76,11,6,0.09,17,0.75,0.25,1,0.341796875,1.4111328125,0.07080078125,0.284423828125,0.1019287109375,0.1239013671875,76
77,11,7,,19,0.75,0.25,1,0.21484375,1.40625,0.068359375,0.274658203125,0.08544921875,0.101318359375,77
78,11,8,0.12,21,0.75,0.25,1,-0.3662109375,1.416015625,0.06591796875,0.321044921875,0.096435546875,0.1153564453125,78
79,11,9,0.16,27,0.75,0.25,1,-0.6787109375,1.3525390625,0.0634765625,0.294189453125,0.1068115234375,0.1275634765625,79
80,11,10,0.18,33,0.75,0.25,1,-0.4638671875,1.3818359375,0.07080078125,0.29052734375,0.1007080078125,0.1226806640625,80
81,11,11,0.2,39,0.75,0.25,1,0.146484375,1.4111328125,0.068359375,0.284423828125,0.09521484375,0.1080322265625,81
82,11,12,0.23,45,0.75,0.25,1,-0.32958984375,1.38671875,0.078125,0.289306640625,0.1153564453125,0.1385498046875,82
83,11,13,0.26,51,0.75,0.25,1,-0.54931640625,1.3525390625,0.078125,0.281982421875,0.0921630859375,0.1214599609375,83
84,11,14,,54,0.75,0.25,1,-0.55419921875,1.3525390625,0.078125,0.31005859375,0.091552734375,0.103759765625,84
85,11,15,0.31,57,0.75,0.25,1,-0.0927734375,1.396484375,0.08544921875,0.301513671875,0.0958251953125,0.1226806640625,85
86,11,16,0.37,63,0.75,0.25,1,-0.67626953125,1.376953125,0.0927734375,0.301513671875,0.11474609375,0.137939453125,86
87,11,17,,67,0.75,0.25,1,-0.1220703125,1.3720703125,0.08544921875,0.274658203125,0.115966796875,0.137939453125,87
88,11,18,0.42,72,0.75,0.25,1,0.244140625,1.40625,0.08056640625,0.264892578125,0.1177978515625,0.1409912109375,88
89,11,19,0.47,80,0.75,0.25,1,0.24658203125,1.396484375,0.078125,0.260009765625,0.0823974609375,0.1068115234375,89
90,11,20,0.57,86,0.75,0.25,1,-0.09765625,1.3525390625,0.13671875,0.267333984375,0.098876953125,0.120849609375,90
91,11,21,0.65,93,0.75,0.25,1,-0.0390625,1.376953125,0.0830078125,0.257568359375,0.1116943359375,0.1397705078125,91
92,11,22,0.68,100,0.75,0.25,1,-0.79833984375,1.34765625,0.0732421875,0.279541015625,0.1025390625,0.1336669921875,92
93,11,23,0.76,105,0.75,0.25,1,0.21484375,1.3427734375,0.07080078125,0.26123046875,0.09765625,0.1165771484375,93
94,12,1,,1,0.75,0.5,1,6.409690556097303e-10,2.084677150387924e-33,1.0546774120712143e-08,2.6976451863447437e-06,4.07462640017453e-11,2.700255436138832e-06,94
95,12,2,0.05,3,0.75,0.5,1,-0.21728515625,1.328125,0.0634765625,0.29296875,0.111083984375,0.1336669921875,95
96,12,3,0.08,6,0.75,0.5,1,0.1025390625,1.3525390625,0.05859375,0.289306640625,0.126953125,0.15625,96
97,12,4,,12,0.75,0.5,1,-0.62744140625,1.3525390625,0.07080078125,0.30029296875,0.11962890625,0.1416015625,97
98,12,5,0.12,19,0.75,0.5,1,-0.64208984375,1.3427734375,0.07080078125,0.279541015625,0.1300048828125,0.1605224609375,98
99,12,6,0.17,24,0.75,0.5,1,-0.39306640625,1.3525390625,0.05615234375,0.255126953125,0.123291015625,0.145263671875,99
100,12,7,0.2,30,0.75,0.5,1,0.2685546875,1.328125,0.0634765625,0.27587890625,0.1336669921875,0.1629638671875,100
101,12,8,0.24,36,0.75,0.5,1,-0.244140625,1.3818359375,0.068359375,0.2734375,0.10986328125,0.1312255859375,101
102,12,9,0.32,42,0.75,0.5,1,0.02197265625,1.376953125,0.05859375,0.2685546875,0.096435546875,0.1165771484375,102
103,12,10,,45,0.75,0.5,1,0.185546875,1.357421875,0.06103515625,0.262451171875,0.096435546875,0.1116943359375,103
104,12,11,0.4,49,0.75,0.5,1,-0.2001953125,1.396484375,0.06103515625,0.250244140625,0.0946044921875,0.111083984375,104
105,12,12,0.45,55,0.75,0.5,1,0.03173828125,1.4111328125,0.05126953125,0.264892578125,0.101318359375,0.1220703125,105
106,12,13,0.49,61,0.75,0.5,1,0.185546875,1.357421875,0.0634765625,0.27587890625,0.09765625,0.11962890625,106
107,12,14,0.58,67,0.75,0.5,1,0.20751953125,1.3916015625,0.0537109375,0.25634765625,0.093994140625,0.1165771484375,107
108,12,15,0.65,74,0.75,0.5,1,-0.6005859375,1.3720703125,0.05859375,0.252685546875,0.103759765625,0.1214599609375,108
109,5,1,0.0,0,1.5,0.5,2,0.1025390625,1.3330078125,0.078125,0.289306640625,0.120849609375,0.145263671875,109
110,5,2,0.16,3,1.5,0.5,2,-0.48828125,1.298828125,0.078125,0.291748046875,0.0213623046875,0.115966796875,110
111,5,3,0.29,6,1.5,0.5,2,0.2490234375,1.357421875,0.08056640625,0.27587890625,0.101318359375,0.123291015625,111
112,5,4,0.44,9,1.5,0.5,2,-0.6005859375,1.337890625,0.08056640625,0.284423828125,0.0958251953125,0.1104736328125,112
113,5,5,0.53,12,1.5,0.5,2,0.1953125,1.3720703125,0.07568359375,0.260009765625,0.1055908203125,0.115966796875,113
114,5,6,0.74,15,1.5,0.5,2,0.21484375,1.38671875,0.07568359375,0.28564453125,0.0958251953125,0.1104736328125,114
115,6,1,0.0,0,1.5,0.25,2,-0.224609375,1.416015625,0.08056640625,0.27587890625,0.020751953125,0.1165771484375,115
116,7,1,0.0,1,0.75,0.25,2,0.1171875,1.376953125,0.05859375,0.301513671875,0.0933837890625,0.1068115234375,116
117,7,2,0.09,3,0.75,0.25,2,-0.5908203125,1.3330078125,0.0634765625,0.296630859375,0.125732421875,0.146484375,117
118,7,3,0.13,6,0.75,0.25,2,-0.7177734375,1.328125,0.078125,0.284423828125,0.1025390625,0.126953125,118
119,7,4,0.22,10,0.75,0.25,2,0.20751953125,1.3330078125,0.0634765625,0.269775390625,0.0213623046875,0.1263427734375,119
120,7,5,0.24,13,0.75,0.25,2,-0.31005859375,1.3916015625,0.06103515625,0.30029296875,0.111083984375,0.13427734375,120
121,7,6,0.34,15,0.75,0.25,2,-0.576171875,1.3671875,0.06591796875,0.296630859375,0.1129150390625,0.135498046875,121
122,7,7,0.46,19,0.75,0.25,2,-0.68115234375,1.3525390625,0.07080078125,0.272216796875,0.1123046875,0.12939453125,122
123,7,8,,21,0.75,0.25,2,-0.10986328125,1.4208984375,0.06103515625,0.3076171875,0.098876953125,0.1220703125,123
124,8,1,0.0,0,0.75,0.5,2,0.126953125,1.3818359375,0.0634765625,0.296630859375,0.10498046875,0.1202392578125,124
125,8,2,0.18,3,0.75,0.5,2,-0.439453125,1.4013671875,0.07080078125,0.2880859375,0.1019287109375,0.1190185546875,125
126,8,3,0.3,6,0.75,0.5,2,0.29541015625,1.38671875,0.0537109375,0.28076171875,0.0177001953125,0.11474609375,126
127,8,4,,8,0.75,0.5,2,0.2783203125,1.357421875,0.0634765625,0.27587890625,0.10986328125,0.1336669921875,127
128,8,5,0.44,9,0.75,0.5,2,0.21240234375,1.38671875,0.0537109375,0.262451171875,0.1080322265625,0.1287841796875,128
129,8,6,0.62,12,0.75,0.5,2,0.29541015625,1.4013671875,0.06591796875,0.30517578125,0.1263427734375,0.159912109375,129
130,13,1,,1,0.75,0.25,2,-0.15625,1.3720703125,0.06103515625,0.311279296875,0.09033203125,0.1031494140625,130
131,13,2,,2,0.75,0.25,2,-0.224609375,1.3671875,0.06591796875,0.303955078125,0.078125,0.09521484375,131
132,13,3,0.1,4,0.75,0.25,2,0.1318359375,1.4111328125,0.05615234375,0.27587890625,0.0750732421875,0.09765625,132
133,13,4,0.13,7,0.75,0.25,2,-0.5078125,1.3330078125,0.0537109375,0.28076171875,0.0927734375,0.10498046875,133
134,13,5,0.17,11,0.75,0.25,2,-0.6298828125,1.3037109375,0.068359375,0.274658203125,0.0177001953125,0.1019287109375,134
135,13,6,0.32,16,0.75,0.25,2,0.2294921875,1.396484375,0.068359375,0.26611328125,0.0860595703125,0.1025390625,135
136,13,7,0.38,19,0.75,0.25,2,0.10986328125,1.4111328125,0.05615234375,0.281982421875,0.0177001953125,0.0946044921875,136
137,13,8,0.49,22,0.75,0.25,2,-0.6103515625,1.357421875,0.05859375,0.2783203125,0.10986328125,0.130615234375,137
138,13,9,0.56,25,0.75,0.25,2,0.166015625,1.3671875,0.087890625,0.2734375,0.09765625,0.1165771484375,138
139,13,10,0.68,29,0.75,0.25,2,-0.5419921875,1.357421875,0.06103515625,0.26611328125,0.111083984375,0.133056640625,139
140,13,11,0.83,32,0.75,0.25,2,-0.71533203125,1.357421875,0.06103515625,0.289306640625,0.10009765625,0.118408203125,140
141,13,12,0.92,35,0.75,0.25,2,-0.4638671875,1.3330078125,0.06103515625,0.267333984375,0.111083984375,0.125732421875,141
142,13,13,1.07,38,0.75,0.25,2,-0.4150390625,1.3916015625,0.06591796875,0.27099609375,0.1025390625,0.1226806640625,142
143,13,14,1.3,42,0.75,0.25,2,-0.62255859375,1.3671875,0.068359375,0.277099609375,0.09521484375,0.1104736328125,143
144,13,15,1.53,45,0.75,0.25,2,-0.6103515625,1.357421875,0.05615234375,0.264892578125,0.09765625,0.1177978515625,144
145,14,1,,1,0.75,0.5,2,0.087890625,1.328125,0.05859375,0.302734375,0.0909423828125,0.108642578125,145
146,14,2,0.09,3,0.75,0.5,2,0.2490234375,1.357421875,0.05615234375,0.306396484375,0.0885009765625,0.1031494140625,146
147,14,3,0.17,6,0.75,0.5,2,0.21484375,1.328125,0.05615234375,0.31005859375,0.1043701171875,0.120849609375,147
148,14,4,0.24,9,0.75,0.5,2,-0.244140625,1.3427734375,0.05859375,0.2880859375,0.101318359375,0.1104736328125,148
149,14,5,,11,0.75,0.5,2,-0.4833984375,1.298828125,0.0634765625,0.303955078125,0.0927734375,0.108642578125,149
150,14,6,0.35,12,0.75,0.5,2,0.2001953125,1.38671875,0.05859375,0.29052734375,0.093994140625,0.106201171875,150
151,14,8,0.6,18,0.75,0.5,2,-0.576171875,1.337890625,0.0634765625,0.264892578125,0.091552734375,0.1190185546875,151
152,14,9,0.81,21,0.75,0.5,2,0.2587890625,1.3916015625,0.068359375,0.283203125,0.1025390625,0.125732421875,152
153,14,10,1.14,24,0.75,0.5,2,0.25390625,1.40625,0.0830078125,0.274658203125,0.0927734375,0.111083984375,153
154,15,1,,1,1.5,0.25,2,-0.458984375,1.357421875,0.068359375,0.29296875,0.0860595703125,0.10498046875,154
155,15,2,0.15,3,1.5,0.25,2,0.2587890625,1.3818359375,0.0634765625,0.28564453125,0.0982666015625,0.1104736328125,155
156,15,3,0.28,6,1.5,0.25,2,0.3271484375,1.357421875,0.05859375,0.260009765625,0.0823974609375,0.10009765625,156
157,15,4,0.37,9,1.5,0.25,2,0.15625,1.3818359375,0.06103515625,0.277099609375,0.0872802734375,0.101318359375,157
158,15,5,0.48,13,1.5,0.25,2,-0.634765625,1.3427734375,0.06103515625,0.26611328125,0.1055908203125,0.1239013671875,158
159,15,6,0.56,16,1.5,0.25,2,-0.1953125,1.4013671875,0.0634765625,0.28564453125,0.0836181640625,0.093994140625,159
160,15,7,0.7,19,1.5,0.25,2,-0.68359375,1.376953125,0.05615234375,0.26123046875,0.1025390625,0.123291015625,160
161,16,1,,1,1.5,0.5,2,-0.1513671875,1.3525390625,0.05859375,0.364990234375,0.091552734375,0.098876953125,161
162,16,2,,2,1.5,0.5,2,-0.58349609375,1.30859375,0.0634765625,0.330810546875,0.093994140625,0.1092529296875,162
163,16,3,0.24,3,1.5,0.5,2,-0.2001953125,1.40625,0.06591796875,0.279541015625,0.11474609375,0.1397705078125,163
164,16,4,,4,1.5,0.5,2,0.244140625,1.328125,0.0634765625,0.29052734375,0.101318359375,0.1177978515625,164
165,16,5,0.4,6,1.5,0.5,2,-0.205078125,1.3818359375,0.068359375,0.289306640625,0.098876953125,0.11474609375,165
166,16,6,0.62,9,1.5,0.5,2,-0.380859375,1.3818359375,0.04150390625,0.29296875,0.07568359375,0.0830078125,166
